Original_Name,Issue,Author_ID
TESTA Francesco,0 papers found,https://openalex.org/A5055378370
TESTA Mario,0 papers found,https://openalex.org/A5055378370
Tipaldi Riccardo,0 papers found,https://openalex.org/A5027349658
TOKAREV ALEXEY,0 papers found,https://openalex.org/A5111366649
Trabelsi Meriam,0 papers found,https://openalex.org/A5102995070
TRENTO Sandro,0 papers found,https://openalex.org/A5112149173
TRIO Oronzo,0 papers found,https://openalex.org/A5064907698
Truncellitto Marta,Author not found,N/A
USAI Antonio,0 papers found,https://openalex.org/A5051510566
Vandelli Andrea,0 papers found,https://openalex.org/A5066364056
Vecchioni Federica,0 papers found,https://openalex.org/A5083026707
Verdura Silvia,Author not found,N/A
Verreschi Giovanni,0 papers found,https://openalex.org/A5077707932
Vianello Diletta,0 papers found,https://openalex.org/A5045668154
VIGNOLA Marina,0 papers found,https://openalex.org/A5108599679
Vincis Andrea,0 papers found,https://openalex.org/A5066364056
Wang Nou,Author not found,N/A
Ziaradi Bita,Author not found,N/A
Zirilli Paola,0 papers found,https://openalex.org/A5107939048
Ziyambe Chipo,Author not found,N/A
Zoltan Judit,0 papers found,https://openalex.org/A5068278401
